№,year,first,title,cast,location,lat,lng
166,平成23年度,き,TBS「教科書にのせたい！」,遠藤秀樹（東京大学）、ふかわりょう,大河原建設（株）,34.839107,138.146637
167,平成23年度,き,TBS「教科書にのせたい！」,遠藤秀樹（東京大学）、ふかわりょう,喫茶いなば,34.830889,138.174427
168,平成23年度,き,TBS「教科書にのせたい！」,遠藤秀樹（東京大学）、ふかわりょう,島田市博物館分館,34.832189,138.15665
169,平成23年度,き,TBS「教科書にのせたい！」,遠藤秀樹（東京大学）、ふかわりょう,居酒屋さくら,34.832306,138.172486
170,平成23年度,し,島田市シティプロモーションビデオ,－,大井川鐵道　新金谷駅,34.824029,138.139015
171,平成23年度,う,NHK「梅ちゃん先生」,堀北真希・小出恵介,蓬莱橋,34.825524,138.184443
172,平成23年度,ふ,ＣＳ「ぶらり探訪・東海道」,松村邦洋、原田龍二,大井川鐵道　新金谷駅,34.824029,138.139015
173,平成23年度,ふ,ＣＳ「ぶらり探訪・東海道」,松村邦洋、原田龍二,田野口駅,35.051649,138.095704
174,平成23年度,ふ,ＣＳ「ぶらり探訪・東海道」,松村邦洋、原田龍二,法信寺,34.841638,138.190897
175,平成23年度,か,「荷風はこんな男じゃない」,愛川欣也,川根本町両国橋,35.118219,138.141054
176,平成23年度,ま,「松本清張スペシャル　市長死す」 ,反町隆,大井川鐵道　新金谷駅,34.824029,138.139015
177,平成23年度,ま,「松本清張スペシャル　市長死す」 ,反町隆,抜里,34.953361,138.087687
178,平成23年度,ま,「松本清張スペシャル　市長死す」 ,反町隆,崎平,35.091707,138.127429
179,平成23年度,ま,「松本清張スペシャル　市長死す」 ,反町隆,福用,34.901922,138.09005
180,平成23年度,え,「駅弁刑事７」,小林稔侍・田丸真紀,大井川鐵道,34.82546,138.137188
181,平成23年度,え,「駅弁刑事７」,小林稔侍・田丸真紀,茶工場予定,0,0
182,平成24年度,あ,映画「青木ヶ原」,勝野洋,静岡空港,34.795346,138.179596
183,平成24年度,あ,映画「青木ヶ原」,勝野洋,島田商工会議所,34.831445,138.173441
184,平成24年度,れ,TBSドラマ「レベル7」,玉木宏、杏,大井川鐵道　五和駅付近,34.84479,138.120855
185,平成24年度,ほ,ドラマ「ぼくの夏休み」,綾部守人、二宮星,静岡空港,34.795346,138.179596
186,平成24年度,か,(株)物語コーポレーション「企業用ビデオ」,－,大井川鐵道　新金谷駅,34.824029,138.139015
187,平成24年度,し,映画「少年Ｈ」,水谷豊、伊藤蘭,島田市内,34.836364,138.175997
188,平成24年度,し,映画「少年Ｈ」,水谷豊、伊藤蘭,川根本町,35.046833,138.081695
189,平成24年度,あ,｢杏が行く恋する東海道」,杏,大井川鐵道　新金谷駅,34.824029,138.139015
190,平成24年度,し,ハラダ製茶「ＴＶＣＭ」,－,福用採石場,34.901922,138.09005
191,平成24年度,な,ナニコレ珍百景,－,島田商工会議所,34.831445,138.173441
192,平成24年度,と,日中国交正常化40周年記念作品「どこへ！」,－,蓬莱橋,34.825524,138.184443
